tipo,Nombre_de_la_Serie,valor,categoria,anio,tipo2
66_anios_o_mas,2012/01,1834604,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/02,2649547,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/03,1509908,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/04,1247174,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/05,1893757,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/06,2691350,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/07,2258854,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/08,515964,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/09,38551,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/10,205907,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/11,108617,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/12,168482,edad,2012,66_anios_o_mas
66_anios_o_mas,2013/01,100513,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/02,98985,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/03,454994,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/04,5906,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/05,69333,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/06,181448,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/07,780336,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/08,131060,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/09,622612,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/10,64216,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/11,9844,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/12,278820,edad,2013,66_anios_o_mas
66_anios_o_mas,2014/01,352103,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/02,47458,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/03,123252,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/04,273138,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/05,146056,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/06,160162,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/07,372719,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/08,546762,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/09,233381,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/10,121892,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/11,488817,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/12,902851,edad,2014,66_anios_o_mas
66_anios_o_mas,2015/01,445355,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/02,696070,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/03,283287,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/04,479595,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/05,652611,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/06,1397459,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/07,880597,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/08,1310925,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/09,1057450,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/10,2704918,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/11,1080686,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/12,2033667,edad,2015,66_anios_o_mas
66_anios_o_mas,2016/01,24933,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/02,146983,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/03,37747,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/04,46628,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/05,1009669,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/06,350671,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/07,91037,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/08,256923,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/09,508652,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/10,391481,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/11,121108,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/12,223170,edad,2016,66_anios_o_mas
66_anios_o_mas,2017/01,301948,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/02,37353,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/03,493086,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/04,168127,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/05,173538,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/06,455994,edad,2017,66_anios_o_mas
